Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279
LeBron James,35,LAL,16.0,753.0,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,.493,.348,.693,9.8,.204
James Harden,30,HOU,0.0,367.0,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,.444,.355,.865,13.1,.254
Luka Dončić,20,DAL,0.0,200.0,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,.463,.316,.758,8.8,.207
Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,.470,.378,.886,8.7,.226
Anthony Davis,26,LAL,0.0,82.0,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,.503,.330,.846,11.1,.250
Chris Paul,34,OKC,0.0,26.0,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,.489,.365,.907,8.9,.193
Damian Lillard,29,POR,0.0,23.0,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,.463,.401,.888,11.6,.225
Nikola Jokić,24,DEN,0.0,18.0,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,.528,.314,.817,9.8,.202
Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,.453,.359,.792,5.4,.123
Jimmy Butler,30,MIA,0.0,9.0,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,.455,.244,.834,9.0,.221
Jayson Tatum,21,BOS,0.0,1.0,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,.450,.403,.812,6.9,.146
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ja Morant,20,MEM,99.0,498.0,500,0.996,67,31.0,17.8,3.9,7.3,0.9,0.3,.477,.335,.776,3.8,.088
Kendrick Nunn,24,MIA,0.0,204.0,500,0.408,67,29.3,15.3,2.7,3.3,0.8,0.2,.439,.350,.850,2.0,.049
Zion Williamson,19,NOP,1.0,140.0,500,0.280,24,27.8,22.5,6.3,2.1,0.7,0.4,.583,.429,.640,2.0,.141
Brandon Clarke,23,MEM,0.0,50.0,500,0.100,58,22.4,12.1,5.9,1.4,0.6,0.8,.618,.359,.759,5.0,.183
Coby White,19,CHI,0.0,3.0,500,0.006,65,25.8,13.2,3.5,2.7,0.8,0.1,.394,.354,.791,0.9,.026
Terence Davis,22,TOR,0.0,2.0,500,0.004,72,16.8,7.5,3.3,1.6,0.5,0.2,.456,.388,.864,3.1,.122
Eric Paschall,23,GSW,0.0,2.0,500,0.004,60,27.6,14.0,4.6,2.1,0.5,0.2,.497,.287,.774,2.1,.062
RJ Barrett,19,NYK,0.0,1.0,500,0.002,56,30.4,14.3,5.0,2.6,1.0,0.3,.402,.320,.614,-0.5,-0.015
