Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
LeBron James,28,MIA,120.0,1207.0,1210,0.998,76,37.9,26.8,8.0,7.3,1.7,0.9,.565,.406,.753,19.3,.322
Kevin Durant,24,OKC,0.0,765.0,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,.510,.416,.905,18.9,.291
Carmelo Anthony,28,NYK,1.0,475.0,1210,0.393,67,37.0,28.7,6.9,2.6,0.8,0.5,.449,.379,.830,9.5,.184
Chris Paul,27,LAC,0.0,289.0,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,.481,.328,.885,13.9,.287
Kobe Bryant,34,LAL,0.0,184.0,1210,0.152,78,38.6,27.3,5.6,6.0,1.4,0.3,.463,.324,.839,10.9,.174
Tony Parker,30,SAS,0.0,86.0,1210,0.071,66,32.9,20.3,3.0,7.6,0.8,0.1,.522,.353,.845,9.3,.206
Tim Duncan,36,SAS,0.0,65.0,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,.502,.286,.817,8.3,.191
James Harden,23,HOU,0.0,33.0,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,.438,.368,.851,12.8,.206
Russell Westbrook,24,OKC,0.0,9.0,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,.438,.323,.800,11.6,.195
Dwyane Wade,31,MIA,0.0,5.0,1210,0.004,69,34.7,21.2,5.0,5.1,1.9,0.8,.521,.258,.725,9.6,.192
Stephen Curry,24,GSW,0.0,3.0,1210,0.002,78,38.2,22.9,4.0,6.9,1.6,0.2,.451,.453,.900,11.2,.180
Kevin Garnett,36,BOS,0.0,1.0,1210,0.001,68,29.7,14.8,7.8,2.3,1.1,0.9,.496,.125,.786,5.6,.133
Marc Gasol,28,MEM,0.0,1.0,1210,0.001,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197
Ty Lawson,25,DEN,0.0,1.0,1210,0.001,73,34.4,16.7,2.7,6.9,1.5,0.1,.461,.366,.756,7.4,.141
David Lee,29,GSW,0.0,1.0,1210,0.001,79,36.8,18.5,11.2,3.5,0.8,0.3,.519,.000,.797,9.1,.150
Joakim Noah,27,CHI,0.0,1.0,1210,0.001,66,36.8,11.9,11.1,4.0,1.2,2.1,.481,.000,.751,7.3,.145
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Damian Lillard,22,POR,121.0,605.0,605,1.000,82,38.6,19.0,3.1,6.5,0.9,0.2,.429,.368,.844,5.8,.088
Anthony Davis,19,NOH,0.0,306.0,605,0.506,64,28.8,13.5,8.2,1.0,1.2,1.8,.516,.000,.751,6.1,.159
Bradley Beal,19,WAS,0.0,94.0,605,0.155,56,31.2,13.9,3.8,2.4,0.9,0.5,.410,.386,.786,3.0,.082
Andre Drummond,19,DET,0.0,36.0,605,0.060,60,20.7,7.9,7.6,0.5,1.0,1.6,.608,.500,.371,4.5,.172
Dion Waiters,21,CLE,0.0,21.0,605,0.035,61,28.8,14.7,2.4,3.0,1.0,0.3,.412,.310,.746,0.9,.026
Harrison Barnes,20,GSW,0.0,8.0,605,0.013,81,25.4,9.2,4.1,1.2,0.6,0.2,.439,.359,.758,2.8,.065
Chris Copeland,28,NYK,0.0,8.0,605,0.013,56,15.4,8.7,2.1,0.5,0.3,0.2,.479,.421,.759,2.1,.117
Michael Kidd-Gilchrist,19,CHA,0.0,3.0,605,0.005,78,26.0,9.0,5.8,1.5,0.7,0.9,.458,.222,.749,2.1,.051
Jonas Valančiūnas,20,TOR,0.0,2.0,605,0.003,62,23.9,8.9,6.0,0.7,0.3,1.3,.557,,.789,3.9,.127
John Jenkins,21,ATL,0.0,1.0,605,0.002,61,14.8,6.1,1.5,0.9,0.2,0.2,.446,.384,.843,1.7,.091
