Player,Pos,Age,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Status,Season
Jeff Adrien,PF,25,8,63,7,16,0.438,0,0,0.0,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21,OOR,2012
Arron Afflalo,SG,26,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943,OOR,2012
Blake Ahearn,PG,27,4,30,4,14,0.286,2,9,0.222,2,5,0.4,0.357,0,0,0.0,0,2,2,1,0,0,5,4,10,OOR,2012
Solomon Alabi,C,23,14,122,13,36,0.361,0,0,0.0,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,OOR,2012
Cole Aldrich,C,23,26,173,22,42,0.524,0,0,0.0,22,42,0.524,0.524,13,14,0.929,13,35,48,3,8,16,9,22,57,OOR,2012
LaMarcus Aldridge,PF,26,55,1994,483,943,0.512,2,11,0.182,481,932,0.516,0.513,223,274,0.814,150,292,442,134,51,45,111,153,1191,OOR,2012
Lavoy Allen,PF,22,41,624,79,167,0.473,0,0,0.0,79,167,0.473,0.473,11,14,0.786,47,124,171,34,13,18,20,73,169,OOR,2012
Ray Allen,SG,36,46,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,OOR,2012
Tony Allen,SG,30,58,1525,210,448,0.469,8,26,0.308,202,422,0.479,0.478,140,175,0.8,98,135,233,79,104,33,94,142,568,OOR,2012
Morris Almond,SG,26,4,67,6,17,0.353,1,3,0.333,5,14,0.357,0.382,1,3,0.333,1,7,8,2,7,0,1,6,14,OOR,2012
Al-Farouq Aminu,SF,21,66,1477,150,365,0.411,13,47,0.277,137,318,0.431,0.429,86,114,0.754,95,213,308,66,59,34,91,136,399,OOR,2012
Lou Amundson,PF,29,60,753,89,207,0.43,0,0,0.0,89,207,0.43,0.43,35,82,0.427,94,128,222,14,27,44,45,125,213,OOR,2012
Chris Andersen,C,33,32,486,59,108,0.546,0,0,0.0,59,108,0.546,0.546,50,82,0.61,48,100,148,6,19,46,17,52,168,OOR,2012
Alan Anderson,SF,29,17,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,OOR,2012
James Anderson,SG,22,51,603,66,174,0.379,19,68,0.279,47,106,0.443,0.434,39,52,0.75,16,63,79,41,8,2,30,35,190,OOR,2012
Ryan Anderson,PF,23,61,1964,332,757,0.439,166,422,0.393,166,335,0.496,0.548,150,171,0.877,224,247,471,54,50,26,57,146,980,OOR,2012
Carmelo Anthony,SF,27,55,1876,441,1025,0.43,68,203,0.335,373,822,0.454,0.463,295,367,0.804,88,256,344,200,62,24,144,156,1245,OOR,2012
Joel Anthony,C,29,64,1349,85,152,0.559,0,0,0.0,85,152,0.559,0.559,49,71,0.69,100,150,250,9,36,84,45,126,219,OOR,2012
Gilbert Arenas,PG,30,17,211,26,64,0.406,13,39,0.333,13,25,0.52,0.508,7,10,0.7,2,16,18,18,11,1,12,35,72,OOR,2012
Trevor Ariza,SF,26,41,1350,168,403,0.417,29,87,0.333,139,316,0.44,0.453,79,102,0.775,41,174,215,135,69,25,76,73,444,OOR,2012
Ömer Aşık,C,25,66,971,79,156,0.506,0,0,0.0,79,156,0.506,0.506,47,103,0.456,127,223,350,32,30,68,68,121,205,OOR,2012
D.J. Augustin,PG,24,48,1408,183,487,0.376,61,179,0.341,122,308,0.396,0.438,105,120,0.875,24,85,109,307,36,1,110,65,532,OOR,2012
Gustavo Ayón,PF,26,54,1088,140,261,0.536,0,1,0.0,140,260,0.538,0.536,39,63,0.619,86,179,265,74,53,46,46,118,319,OOR,2012
Jeff Ayres,C,24,20,106,15,36,0.417,0,0,0.0,15,36,0.417,0.417,4,7,0.571,12,21,33,4,3,2,2,16,34,OOR,2012
Kelenna Azubuike,SG,28,3,18,3,8,0.375,1,3,0.333,2,5,0.4,0.438,0,0,0.0,0,0,0,0,1,0,4,1,7,OOR,2012
